Sr. No.,uid
1,55041
2,21762
3,62595
4,89858
5,84361
6,91658
7,24587
8,17161
9,43917
10,20495
11,22416
12,22673
13,28432
14,27667
15,69264
16,80535
17,74008
18,49304
19,71065
20,22011
21,16540
22,49820
23,40865
24,88865
25,69033
26,62252
27,86189
28,87086
29,14255
30,67761
31,26802
32,86455
33,49466
34,53434
35,99906
36,65476
37,77256
38,36296
39,57550
40,48847
41,66768
42,60240
43,65240
44,83929
45,15706
46,90075
47,40028
48,93280
49,51042
50,20962
51,17766
52,42215
53,73448
54,83433
55,79721
56,51563
57,50924
58,47211
59,96107
60,97007
61,49776
62,68209
63,75507
64,65653
65,92151
66,94457
67,68731
68,54012
69,47998
